1;1;1;851;1
2;1;2;916;1
3;1;3;1882;1
4;2;1;1490;1
5;2;2;1366;3
6;2;3;1803;1
7;3;1;6476;1
8;3;2;3735;1
9;3;3;2320;1
10;3;4;3336;1
11;3;5;2618;1
12;4;1;1061;1
13;4;2;6556;1
14;5;1;5238;1
15;5;2;4326;1
16;5;3;4402;1
17;5;4;411;1
18;5;5;6141;1
19;5;6;668;3
20;5;7;3463;1
21;5;8;6629;1
22;6;1;6699;1
23;6;2;132;1
24;7;1;703;1
25;7;2;49;1
26;7;3;3509;1
27;8;1;4897;1
28;8;2;4962;1
29;8;3;1046;1
30;8;4;4818;1
31;9;1;5358;2
32;9;2;4594;1
33;10;1;4938;1
34;10;2;1172;1
35;11;1;6270;1
36;11;2;2043;1
37;11;3;3823;1
38;11;4;2656;1
39;11;5;3144;1
40;11;6;2896;1
41;12;1;4057;1
42;12;2;1686;1
43;12;3;3083;1
44;12;4;1118;1
45;13;1;2290;1
46;14;1;3143;1
47;14;2;6552;1
48;14;3;3332;1
49;14;4;750;1
50;14;5;1850;1
51;14;6;72;1
52;14;7;2155;1
53;14;8;2210;4
54;15;1;2689;1
55;15;2;6357;1
56;15;3;2376;1
57;16;1;3408;1
58;16;2;5004;1
59;16;3;759;1
60;16;4;410;2
61;17;1;2137;1
62;17;2;3966;1
63;17;3;2768;1
64;17;4;3765;1
65;17;5;3799;1
66;17;6;3050;1
67;17;7;1720;1
68;18;1;6196;1
69;18;2;792;1
70;18;3;3459;1
71;18;4;3268;1
72;19;1;168;1
73;20;1;328;1
74;20;2;3418;1
75;20;3;5533;1
76;20;4;3821;1
77;21;1;3018;2
78;21;2;5521;1
79;21;3;1816;1
80;21;4;5283;1
81;22;1;6012;1
82;22;2;2318;1
83;22;3;5046;1
84;22;4;5077;1
85;22;5;1061;1
86;22;6;6738;1
87;23;1;2687;1
88;23;2;5057;1
89;24;1;4035;1
90;24;2;4508;1
91;24;3;1811;1
92;24;4;1140;1
93;24;5;2171;1
94;24;6;4744;3
95;24;7;1546;1
96;24;8;3268;1
97;24;9;4823;1
98;25;1;2311;1
99;26;1;6572;1
100;26;2;35;1
101;26;3;4697;1
102;27;1;6808;1
103;27;2;4079;1
104;27;3;1471;1
105;27;4;885;1
106;28;1;1292;1
107;29;1;4572;1
108;29;2;2892;1
109;30;1;5938;2
110;30;2;6651;1
111;31;1;5427;1
112;31;2;5869;1
113;31;3;3013;1
114;31;4;5012;1
115;32;1;483;1
116;32;2;3577;1
117;32;3;1232;1
118;32;4;2528;1
119;33;1;3297;3
120;33;2;5827;1
121;34;1;2223;1
122;35;1;877;1
123;36;1;5342;1
124;36;2;1898;1
125;36;3;943;1
126;37;1;2844;1
127;37;2;5671;1
128;37;3;4159;1
129;37;4;2719;1
130;37;5;5938;1
131;37;6;4505;1
132;37;7;3045;1
133;37;8;642;1
134;38;1;5207;1
135;38;2;2308;1
136;39;1;992;1
137;40;1;3711;2
138;41;1;5494;1
139;41;2;6038;1
140;41;3;4349;1
141;42;1;5306;1
142;43;1;994;1
143;43;2;6609;1
144;44;1;4686;1
145;44;2;1639;1
146;44;3;5310;1
147;44;4;3496;1
148;45;1;5385;1
149;45;2;2395;1
150;45;3;1525;1
151;46;1;2185;1
152;46;2;3665;1
153;47;1;3144;1
154;47;2;6819;1
155;47;3;3345;1
156;47;4;4627;1
157;47;5;4515;1
158;48;1;6158;1
159;49;1;6121;1
160;49;2;733;1
161;50;1;1217;1
162;50;2;5882;1
163;50;3;3184;1
164;50;4;4560;1
165;51;1;3570;1
166;51;2;1038;2
167;51;3;3639;1
168;51;4;3496;1
169;52;1;3928;1
170;52;2;5580;1
171;52;3;1892;1
172;52;4;1227;1
173;52;5;5226;1
174;52;6;3995;1
175;53;1;80;1
176;53;2;5955;1
177;54;1;1373;1
178;54;2;3078;1
179;54;3;3033;1
180;54;4;5226;1
181;55;1;4166;1
182;55;2;5347;1
183;55;3;5196;1
184;56;1;5803;1
185;56;2;6381;2
186;56;3;3348;1
187;56;4;1682;1
188;57;1;5450;1
189;57;2;1714;1
190;57;3;4836;1
191;58;1;3485;1
192;58;2;2094;1
193;58;3;1090;1
194;59;1;2540;1
195;60;1;3945;1
196;60;2;3456;1
197;61;1;2289;4
198;61;2;2353;1
199;61;3;6019;1
200;62;1;2524;1
201;62;2;4242;1
202;62;3;3112;2
203;63;1;5114;1
204;63;2;5856;1
205;63;3;6188;1
206;63;4;4429;1
207;63;5;2734;1
208;64;1;6563;1
209;64;2;4144;1
210;64;3;2429;1
211;65;1;1757;1
212;65;2;3200;1
213;65;3;3473;1
214;66;1;1809;1
