1;330;693197
2;206;406945
3;528;433150
4;442;341989
5;357;434735
6;50;788126
7;56;105724
8;155;434855
9;257;327476
10;521;491141
11;386;322113
12;370;590506
13;239;140008
14;485;548480
15;283;533938
16;624;782851
17;243;621140
18;430;318612
19;560;968222
20;458;665976
21;71;314439
22;175;769189
23;335;372269
24;599;335542
25;549;945572
26;538;940494
27;293;188473
28;476;731490
29;196;385545
30;387;854564
31;502;929289
32;154;503262
33;356;756001
34;496;413146
35;309;872000
36;695;782895
37;529;550512
38;482;265913
39;471;967484
40;424;941248
41;447;152069
42;603;174901
43;522;302039
44;467;205435
45;489;183061
46;501;737693
47;668;399922
48;681;902431
49;587;563236
50;333;413385
