1;2;MYCAMINE 50 MG INFUZYONLUK COZELTI ICIN TOZ 1 FLAKON;ASTELLAS PHARMA;8699043890307;13,36
2;3;VERZENIOS 100 MG FILM KAPLI TABLET (42 TABLET);LILLY;8699673098265;8,9
3;4;VERZENIOS 150 MG FILM KAPLI TABLET (42 TABLET);LILLY;8699673098326;58,98
4;5;VERZENIOS 50 MG FILM KAPLI TABLET (42 TABLET);LILLY;8699673098203;86,28
5;6;ZINCFORT 25 MG /5 ML SURUP 100 ML;PHARMACTIVE;8680760570122;9,63
6;7;HEPATITIS B IMMUNOGLOBULIN P BEHRING 200 IU/1 ML IM KULLANIMA HAZIR ENJEKTORDE ENJEKSIYONLUK COZELTI;CSL BEHRING;4047725118326;5,31
7;8;IMURAN 25 MG 100 TABLET;VLD DANISMANLIK;6091403200245;64,54
8;9;AMBISOME 50 MG IV INFUZYON ICIN LIYOFILIZE TOZ ICEREN 10 FLAKON;GILEAD SCIENCES;8698760790075;14,53
9;10;MYCAMINE 50 MG INFUZYONLUK COZELTI ICIN TOZ 1 FLAKON;ASTELLAS PHARMA;8699043791178;2,24
10;11;TISINON 5 MG 60 KAPSUL;NOBEL ILAC;8699262150077;9,37
11;12;SOMATOSAN 3 MG IV INFUZYON ICIN 1 AMPUL;ACTAVIS;8699517753046;35,34
12;13;REVOLADE 25 MG 14 FILM TABLET;GLAXO SMITHKLINE;8699522091003;14,69
13;14;REVOLADE 50 MG 14 FILM TABLET;GLAXO SMITHKLINE;8699522091010;14,86
14;15;VARILRIX SC ENJEKSIYON ICIN LIYOFILIZE TOZ ICEREN FLAKON;GLAXO SMITHKLINE;8699522967452;42,51
15;16;ETHYOL 500 MG 1 FLAKON;ER-KIM;8699538793908;11,84
16;17;IVHEBEX 5000 IU/100 ML IV INF. ICIN LIYOFILIZE TOZ ICEREN 1 FLAKON;ER-KIM;8699538983668;13,19
17;18;PRIMOLUT-N 5 MG 30 TABLET;BAYER;8699546013418;5,12
18;19;ASACOL 500MG 20 SUPOZITUVAR;ECZACIBASI ILAC PAZARLAMA;8699586892035;14,76
19;20;PEGINTRON 100 MCG ENJEKSIYONLUK COZELTI TOZU VE COZUCUSU 4 FLAKON;MERCK SHARP & DOHME;8699636790465;82,2
20;21;PEGINTRON 120 MCG ENJEKSIYONLUK COZELTI TOZU VE COZUCUSU 4 FLAKON;MERCK SHARP & DOHME;8699636790472;3,58
21;22;PEGINTRON 150 MCG ENJEKSIYONLUK COZELTI TOZU VE COZUCUSU 4 FLAKON;MERCK SHARP & DOHME;8699636790489;9,63
22;23;PUREGON 600 IU/ 0.72 ML S.C. ENJ.ICIN SOL. ICEREN 1 KARTUS;MERCK SHARP & DOHME;8699636791134;6,79
23;24;NUVIGIL 150 MG 30 TABLET;TEVA ILAC;8699638014026;12,42
24;25;NUVIGIL 250 MG 30 TABLET;TEVA ILAC;8699638014033;6,38
25;26;TOMUDEX 2 MG 1 FLAKON;ORNA;8699643790038;9,56
26;27;IXEL 50 MG 56 KAPSUL;PIERRE FABRE;8699749150064;2,23
27;28;TOLVON 30 MG 14 TABLET;SCHERING PLOUGH;8699790091231;10,89
28;29;TOLVON 10 MG 30 TABLET;SCHERING PLOUGH;8699790091248;37,06
29;30;FLUANXOL 3 MG 50 DRAJE;LUNDBECK;8699795120554;9,03
30;31;METOART 10 MG/1 ML ENJEKSIYONLUK COZELTI ICEREN ENJEKTOR ( 1 ENJEKTOR);KOCAK FARMA;8699828950011;17,2
31;32;METOART 25 MG/2,5 ML ENJEKSIYONLUK COZELTI ICEREN ENJEKTOR (1 ENJEKTOR);KOCAK FARMA;8699828950042;2,68
32;33;SYNACTHEN DEPOT  1 MG 1 AMPUL;VLD DANISMANLIK;8699874080366;3,36
33;34;% 0,9 SODYUM KLORUR SOLUSYONU 1000 ML(SETLI);I.E ULAGAY;8699508690046;7,6
